miRNA	Gene	Input
gga-miR-190a-3p	SLC24A2	-1
gga-miR-190a-3p	IFT52	-1
gga-miR-190a-3p	MNT	-1
gga-miR-190a-3p	LARP1	-1
gga-miR-190a-3p	AMPH	-1
gga-miR-190a-3p	PRMT1	-1
gga-miR-190a-3p	ANGPT1	-1
gga-miR-190a-3p	UVRAG	-1
gga-miR-190a-3p	ADGRG6	-1
gga-miR-190a-3p	ROBO2	-1
gga-miR-190a-3p	SUSD6	-1
gga-miR-190a-3p	HCN1	-1
gga-miR-190a-3p	PLPP3	-1
gga-miR-190a-3p	LRIG1	-1
gga-miR-190a-3p	EIF4G1	-1
gga-miR-190a-3p	KIAA1109	-1
gga-miR-190a-3p	RPS6KB1	-1
gga-miR-190a-3p	AMN1	-1
gga-miR-190a-3p	GRIK4	-1
gga-miR-190a-3p	OSBPL6	-1
gga-miR-190a-3p	ZBTB20	-1
gga-miR-190a-3p	RAB11FIP3	-1
gga-miR-190a-3p	RBM20	-1
gga-miR-190a-3p	CFLAR	-1
gga-miR-190a-3p	NLK	-1
gga-miR-190a-3p	KCNMB2	-1
gga-miR-190a-3p	GLCCI1	-1
gga-miR-190a-3p	MLLT1	-1
gga-miR-190a-3p	TTYH3	-1
gga-miR-190a-3p	SCN2A	-1
gga-miR-190a-3p	PDE3A	-1
gga-miR-190a-3p	HOMER1	-1
gga-miR-190a-3p	EVA1A	-1
gga-miR-190a-3p	NPW	-1
gga-miR-190a-3p	STXBP6	-1
gga-miR-190a-3p	CRCBL	-1
gga-miR-190a-3p	FSTL3	-1
gga-miR-190a-3p	STAG3	-1
gga-miR-190a-3p	CNTN5	-1
gga-miR-190a-3p	KLHL15	-1
gga-miR-190a-3p	CD200R1	-1
gga-miR-190a-3p	SOX5	-1
gga-miR-190a-3p	SPAG9	-1
gga-miR-190a-3p	TNFSF13B	-1
gga-miR-190a-3p	PDGFB	-1
gga-miR-190a-3p	SYTL3	-1
gga-miR-190a-3p	ASB2	-1
gga-miR-190a-3p	ZNF148	-1
gga-miR-190a-3p	GRID2	-1
gga-miR-190a-3p	CHMP2A	-1
gga-miR-190a-3p	KSR2	-1
gga-miR-190a-3p	KDM6A	-1
gga-miR-190a-3p	PVALB	-1
gga-miR-190a-3p	SPTB	-1
gga-miR-190a-3p	HGF	-1
gga-miR-190a-3p	FAM13C	-1
gga-miR-190a-3p	SGCD	-1
gga-miR-190a-3p	FMO4	-1
gga-miR-190a-3p	CLIC4	-1
gga-miR-190a-3p	DAPK1	-1
gga-miR-190a-3p	GULP1	-1
gga-miR-190a-3p	SLITRK1	-1
gga-miR-190a-3p	LOC121106455	-1
gga-miR-190a-3p	PLEKHA1	-1
gga-miR-190a-3p	THBS2	-1
gga-miR-190a-3p	PHTF2	-1
gga-miR-190a-3p	NEURL1B	-1
gga-miR-190a-3p	PCDH9	-1
gga-miR-190a-3p	CABIN1	-1
gga-miR-190a-3p	SLC6A1	-1
gga-miR-190a-3p	CRBN	-1
gga-miR-190a-3p	LIMS1	-1
gga-miR-190a-3p	DENND1B	-1
gga-miR-190a-3p	SFRP2	-1
gga-miR-190a-3p	GRID1	-1
gga-miR-190a-3p	TBP	-1
gga-miR-190a-3p	GPR50	-1
gga-miR-190a-3p	RASSF8	-1
gga-miR-190a-3p	LRP6	-1
gga-miR-190a-3p	OSBPL3	-1
gga-miR-190a-3p	KCNB1	-1
gga-miR-190a-3p	FADD	-1
gga-miR-190a-3p	FAM81A	-1
gga-miR-190a-3p	HNRNPKL	-1
gga-miR-190a-3p	BRSK1	-1
gga-miR-190a-3p	RBM47	-1
gga-miR-190a-3p	CREB3L2	-1
gga-miR-190a-3p	NCSTN	-1
gga-miR-190a-3p	PPP2R5C	-1
gga-miR-190a-3p	LARP6	-1
gga-miR-190a-3p	AKT3	-1
gga-miR-190a-3p	SRM	-1
gga-miR-190a-3p	LZTS3	-1
gga-miR-190a-3p	PSD2	-1
gga-miR-190a-3p	GALK1	-1
gga-miR-190a-3p	GAD2	-1
gga-miR-190a-3p	KCTD8	-1
gga-miR-190a-3p	PLEKHA5	-1
gga-miR-190a-3p	DCP2	-1
gga-miR-190a-3p	PITX2	-1
gga-miR-190a-3p	PACSIN1	-1
gga-miR-190a-3p	EP300	-1
gga-miR-190a-3p	MAP1LC3A	-1
gga-miR-190a-3p	PDCD4	-1
gga-miR-190a-3p	HOXD8	-1
gga-miR-190a-3p	LOC101751545	-1
gga-miR-190a-3p	C1QL3	-1
gga-miR-190a-3p	FAN1	-1
gga-miR-190a-3p	UBE2H	-1
gga-miR-190a-3p	ZNF800	-1
gga-miR-190a-3p	TMEM245	-1
gga-miR-190a-3p	SCUBE1	-1
gga-miR-190a-3p	CAPN5	-1
gga-miR-190a-3p	C16orf52	-1
gga-miR-190a-3p	INSYN1	-1
gga-miR-190a-3p	HOXD11	-1
gga-miR-190a-3p	ZBTB10	-1
gga-miR-190a-3p	MYO16	-1
gga-miR-190a-3p	PLEKHD1	-1
gga-miR-190a-3p	PEX13	-1
gga-miR-190a-3p	ADAMTS7	-1
gga-miR-190a-3p	ITPKC	-1
gga-miR-190a-3p	ZFYVE1	-1
gga-miR-190a-3p	SMC2	-1
gga-miR-190a-3p	MAFK	-1
gga-miR-190a-3p	APBA1	-1
gga-miR-190a-3p	RERG	-1
gga-miR-190a-3p	TGFBR2	-1
gga-miR-190a-3p	EPS8L2	-1
gga-miR-190a-3p	IDE	-1
gga-miR-190a-3p	ZNF385D	-1
gga-miR-190a-3p	GMEB1	-1
gga-miR-190a-3p	KLF10	-1
gga-miR-190a-3p	ARHGAP42	-1
gga-miR-190a-3p	SCN3A	-1
gga-miR-190a-3p	SEC23A	-1
gga-miR-190a-3p	EZR	-1
gga-miR-190a-3p	TMEM161B	-1
gga-miR-190a-3p	GABRB3	-1
gga-miR-190a-3p	SYT4	-1
gga-miR-190a-3p	SLC8A1	-1
gga-miR-190a-3p	CRTC1	-1
gga-miR-190a-3p	PLCH2	-1
